,性别,年龄,船舱等级,费用,是否生还
0,男,22,三等,7.25,0
1,女,38,一等,71.2833,1
2,女,26,三等,7.925,1
3,女,35,一等,53.1,1
4,男,35,三等,8.05,0
5,男,,三等,8.4583,0
6,男,54,一等,51.8625,0
7,男,2,三等,21.075,0
8,女,27,三等,11.1333,1
9,女,14,二等,30.0708,1
10,女,4,三等,16.7,1
11,女,58,一等,26.55,1
12,男,20,三等,8.05,0
13,男,39,三等,31.275,0
14,女,14,三等,7.8542,0
15,女,55,二等,16,1
16,男,2,三等,29.125,0
17,男,,二等,13,1
18,女,31,三等,18,0
19,女,,三等,7.225,1
20,男,35,二等,26,0
21,男,34,二等,13,1
22,女,15,三等,8.0292,1
23,男,28,一等,35.5,1
24,女,8,三等,21.075,0
25,女,38,三等,31.3875,1
26,男,,三等,7.225,0
27,男,19,一等,263,0
28,女,,三等,7.8792,1
29,男,,三等,7.8958,0
30,男,40,一等,27.7208,0
31,女,,一等,146.5208,1
32,女,,三等,7.75,1
33,男,66,二等,10.5,0
34,男,28,一等,82.1708,0
35,男,42,一等,52,0
36,男,,三等,7.2292,1
37,男,21,三等,8.05,0
38,女,18,三等,18,0
39,女,14,三等,11.2417,1
40,女,40,三等,9.475,0
41,女,27,二等,21,0
42,男,,三等,7.8958,0
43,女,3,二等,41.5792,1
44,女,19,三等,7.8792,1
45,男,,三等,8.05,0
46,男,,三等,15.5,0
47,女,,三等,7.75,1
48,男,,三等,21.6792,0
49,女,18,三等,17.8,0
50,男,7,三等,39.6875,0
51,男,21,三等,7.8,0
52,女,49,一等,76.7292,1
53,女,29,二等,26,1
54,男,65,一等,61.9792,0
55,男,,一等,35.5,1
56,女,21,二等,10.5,1
57,男,28.5,三等,7.2292,0
58,女,5,二等,27.75,1
59,男,11,三等,46.9,0
60,男,22,三等,7.2292,0
61,女,38,一等,80,1
62,男,45,一等,83.475,0
63,男,4,三等,27.9,0
64,男,,一等,27.7208,0
65,男,,三等,15.2458,1
66,女,29,二等,10.5,1
67,男,19,三等,8.1583,0
68,女,17,三等,7.925,1
69,男,26,三等,8.6625,0
70,男,32,二等,10.5,0
71,女,16,三等,46.9,0
72,男,21,二等,73.5,0
73,男,26,三等,14.4542,0
74,男,32,三等,56.4958,1
75,男,25,三等,7.65,0
76,男,,三等,7.8958,0
77,男,,三等,8.05,0
78,男,0.83,二等,29,1
79,女,30,三等,12.475,1
80,男,22,三等,9,0
81,男,29,三等,9.5,1
82,女,,三等,7.7875,1
83,男,28,一等,47.1,0
84,女,17,二等,10.5,1
85,女,33,三等,15.85,1
86,男,16,三等,34.375,0
87,男,,三等,8.05,0
88,女,23,一等,263,1
89,男,24,三等,8.05,0
90,男,29,三等,8.05,0
91,男,20,三等,7.8542,0
92,男,46,一等,61.175,0
93,男,26,三等,20.575,0
94,男,59,三等,7.25,0
95,男,,三等,8.05,0
96,男,71,一等,34.6542,0
97,男,23,一等,63.3583,1
98,女,34,二等,23,1
99,男,34,二等,26,0
100,女,28,三等,7.8958,0
101,男,,三等,7.8958,0
102,男,21,一等,77.2875,0
103,男,33,三等,8.6542,0
104,男,37,三等,7.925,0
105,男,28,三等,7.8958,0
106,女,21,三等,7.65,1
107,男,,三等,7.775,1
108,男,38,三等,7.8958,0
109,女,,三等,24.15,1
110,男,47,一等,52,0
111,女,14.5,三等,14.4542,0
112,男,22,三等,8.05,0
113,女,20,三等,9.825,0
114,女,17,三等,14.4583,0
115,男,21,三等,7.925,0
116,男,70.5,三等,7.75,0
117,男,29,二等,21,0
118,男,24,一等,247.5208,0
119,女,2,三等,31.275,0
120,男,21,二等,73.5,0
121,男,,三等,8.05,0
122,男,32.5,二等,30.0708,0
123,女,32.5,二等,13,1
124,男,54,一等,77.2875,0
125,男,12,三等,11.2417,1
126,男,,三等,7.75,0
127,男,24,三等,7.1417,1
128,女,,三等,22.3583,1
129,男,45,三等,6.975,0
130,男,33,三等,7.8958,0
131,男,20,三等,7.05,0
132,女,47,三等,14.5,0
133,女,29,二等,26,1
134,男,25,二等,13,0
135,男,23,二等,15.0458,0
136,女,19,一等,26.2833,1
137,男,37,一等,53.1,0
138,男,16,三等,9.2167,0
139,男,24,一等,79.2,0
140,女,,三等,15.2458,0
141,女,22,三等,7.75,1
142,女,24,三等,15.85,1
143,男,19,三等,6.75,0
144,男,18,二等,11.5,0
145,男,19,二等,36.75,0
146,男,27,三等,7.7958,1
147,女,9,三等,34.375,0
148,男,36.5,二等,26,0
149,男,42,二等,13,0
150,男,51,二等,12.525,0
151,女,22,一等,66.6,1
152,男,55.5,三等,8.05,0
153,男,40.5,三等,14.5,0
154,男,,三等,7.3125,0
155,男,51,一等,61.3792,0
156,女,16,三等,7.7333,1
157,男,30,三等,8.05,0
158,男,,三等,8.6625,0
159,男,,三等,69.55,0
160,男,44,三等,16.1,0
161,女,40,二等,15.75,1
162,男,26,三等,7.775,0
163,男,17,三等,8.6625,0
164,男,1,三等,39.6875,0
165,男,9,三等,20.525,1
166,女,,一等,55,1
167,女,45,三等,27.9,0
168,男,,一等,25.925,0
169,男,28,三等,56.4958,0
170,男,61,一等,33.5,0
171,男,4,三等,29.125,0
172,女,1,三等,11.1333,1
