,发现时间,发现数量,观测方法,行星质量,距地距离,轨道周期
0,1989,1 ,径向速度,11.68,40.57,83.8880 
1,1992,3 ,脉冲星计时,,,25.2620 
2,1992,3 ,脉冲星计时,,,66.5419 
3,1994,3 ,脉冲星计时,,,98.2114 
4,1995,1 ,径向速度,0.472,15.36,4.2308 
5,1996,5 ,径向速度,0.8,12.53,14.6510 
6,1996,4 ,径向速度,0.6876,13.47,4.6170 
7,1996,3 ,径向速度,2.53,14.08,1078.0000 
8,1996,1 ,径向速度,,21.41,798.5000 
9,1996,1 ,径向速度,,18.11,116.6884 
10,1996,1 ,径向速度,3.9,15.6,3.3135 
11,1997,1 ,径向速度,1.04,17.43,39.8450 
12,1998,4 ,径向速度,2.2756,4.7,61.1166 
13,1998,2 ,径向速度,8.02,37.88,58.1129 
14,1998,2 ,径向速度,0.52,47.92,3.0970 
15,1998,2 ,径向速度,1.39,19.72,7.1268 
16,1998,1 ,径向速度,1.23,21.29,442.1000 
17,1999,4 ,径向速度,1.981,13.47,241.2580 
18,1999,4 ,径向速度,4.132,13.47,1276.4600 
19,1999,2 ,径向速度,1.59,25.65,258.1900 
20,1999,2 ,径向速度,1.49,59.03,406.6000 
21,1999,2 ,径向速度,1.99,47.92,3810.0000 
22,1999,1 ,径向速度,3.91,10.91,15.7649 
23,1999,1 ,径向速度,6.21,32.56,1075.2000 
24,1999,1 ,径向速度,0.42,28.94,3.5100 
25,1999,1 ,径向速度,8.44,38.99,256.7800 
26,1999,1 ,径向速度,1.04,29.76,10.7085 
27,1999,1 ,径向速度,0.72,19.89,24.3480 
28,1999,1 ,径向速度,3.7,37.35,18.2016 
29,1999,1 ,径向速度,,47.08,3.5247 
30,1999,1 ,径向速度,7.75,41.95,572.3800 
31,1999,1 ,径向速度,1.94,17.24,311.2880 
32,2000,4 ,径向速度,0.7142,4.7,30.0881 
33,2000,4 ,径向速度,,15.28,643.2500 
34,2000,2 ,径向速度,2.3,37.16,262.7090 
35,2000,2 ,径向速度,0.839,42.43,14.3098 
36,2000,2 ,径向速度,13.38,42.43,2140.2000 
37,2000,2 ,径向速度,18.1,37.88,1749.5000 
38,2000,2 ,径向速度,2.88,36.32,225.6200 
39,2000,1 ,径向速度,1.55,3.22,2502.0000 
40,2000,1 ,径向速度,,80,3.4878 
41,2000,1 ,径向速度,3.37,17.62,133.7100 
42,2000,1 ,径向速度,0.26,35.91,75.5230 
43,2000,1 ,径向速度,1.28,18.24,423.8410 
44,2000,1 ,径向速度,0.249,33.41,3.0240 
45,2000,1 ,径向速度,1.13,28.07,118.9600 
46,2000,1 ,径向速度,3.86,32.32,325.8100 
47,2000,1 ,径向速度,0.95,27.05,3.0925 
48,2001,3 ,径向速度,0.54,14.08,2391.0000 
49,2001,2 ,径向速度,1.25,25.64,349.7000 
50,2001,1 ,径向速度,0.8,32.7,829.0000 
51,2001,1 ,径向速度,2.07,77.82,431.8800 
52,2001,1 ,径向速度,2.61,34.6,738.4590 
53,2001,1 ,径向速度,5.59,39.56,385.9000 
54,2001,1 ,径向速度,10.35,18.21,2063.8180 
55,2001,1 ,径向速度,1.9,58.82,6.2760 
56,2001,1 ,径向速度,,29.04,111.4357 
57,2001,1 ,径向速度,1.1,20.43,493.7000 
58,2001,1 ,径向速度,7.03,46.73,71.4840 
59,2001,1 ,径向速度,4.5,40.75,951.0000 
60,2002,5 ,径向速度,3.53,12.53,4909.0000 
61,2002,3 ,径向速度,0.61,33.24,154.4600 
62,2002,3 ,径向速度,0.683,33.24,2295.0000 
63,2002,2 ,径向速度,1.92,37.16,1708.0000 
64,2002,2 ,径向速度,5,121.36,430.0000 
65,2002,2 ,径向速度,2.25,94.61,188.9000 
66,2002,2 ,径向速度,1.29,68.54,395.8000 
67,2002,2 ,径向速度,1.45,16.57,454.2000 
68,2002,2 ,径向速度,17.4,46.34,255.8700 
69,2002,1 ,径向速度,4.64,18.15,1773.4000 
70,2002,1 ,径向速度,4.9,89.85,1183.0000 
71,2002,1 ,径向速度,1.8,44.15,227.0000 
72,2002,1 ,径向速度,1.07,27.13,500.0000 
73,2002,1 ,径向速度,9.17,54.71,2819.6540 
74,2002,1 ,径向速度,4.01,33.33,264.1500 
75,2002,1 ,径向速度,0.115,40.73,4.9437 
76,2002,1 ,径向速度,4.9,31.03,1279.0000 
77,2002,1 ,径向速度,3.15,51.36,3383.0000 
78,2002,1 ,径向速度,0.197,59.7,3.9710 
79,2002,1 ,径向速度,0.4,43.53,2.9856 
80,2002,1 ,径向速度,6.92,37.44,1531.0000 
81,2002,1 ,径向速度,0.261,38.56,10.8985 
82,2002,1 ,径向速度,0.95,35,1114.0000 
83,2002,1 ,径向速度,9.7,33.46,653.2200 
84,2002,1 ,径向速度,14.4,31.26,8.4282 
85,2002,1 ,径向速度,0.23,43.12,6.4030 
86,2002,1 ,径向速度,5.93,62.11,1136.1000 
87,2002,1 ,径向速度,3,46.93,1289.0000 
88,2002,1 ,径向速度,1.26,33.29,1311.0000 
89,2002,1 ,径向速度,2.1,26.52,1294.0000 
90,2002,1 ,径向速度,8.82,31.33,511.0980 
91,2002,1 ,凌日,,,1.2119 
92,2003,3 ,径向速度,1.8,64.56,51.6450 
93,2003,3 ,径向速度,8.06,64.56,2473.0000 
94,2003,2 ,径向速度,1.26,35.59,572.4000 
95,2003,2 ,径向速度,,27.46,441.4700 
96,2003,2 ,径向速度,,27.46,220.0780 
97,2003,2 ,径向速度,1.24,28.04,937.7000 
98,2003,2 ,径向速度,4.04,36.32,2102.0000 
99,2003,2 ,径向速度,1.502,15.89,2891.0000 
100,2003,1 ,径向速度,1.85,13.79,903.3000 
101,2003,1 ,径向速度,0.229,11.11,62.2180 
102,2003,1 ,径向速度,0.48,40.32,22.0900 
103,2003,1 ,径向速度,1.37,22.38,466.2000 
104,2003,1 ,径向速度,7.71,51.97,1561.0000 
105,2003,1 ,径向速度,18.37,43.03,1.3283 
106,2003,1 ,径向速度,5.25,92.51,303.0000 
107,2003,1 ,径向速度,2,28.76,2231.0000 
108,2003,1 ,径向速度,1.87,36.52,2.5486 
109,2003,1 ,径向速度,8.3,102.04,199.5050 
110,2003,1 ,径向速度,6.8,28.88,1143.0000 
111,2003,1 ,径向速度,1.22,44.37,63.3300 
112,2003,1 ,径向速度,3.71,133.16,344.9500 
113,2003,1 ,径向速度,1.62,34.57,386.3000 
114,2003,1 ,径向速度,1.21,12.87,528.4000 
115,2003,1 ,径向速度,0.65,37.89,118.4500 
116,2003,1 ,脉冲星计时,,,36525.0000 
117,2004,5 ,径向速度,0.165,12.53,44.3800 
118,2004,4 ,径向速度,1.814,15.28,4205.8000 
119,2004,4 ,径向速度,,15.28,9.6386 
120,2004,2 ,径向速度,2.3,42.88,55.0000 
121,2004,2 ,径向速度,0.087,17.99,17.0540 
122,2004,2 ,径向速度,2.24,68.54,408.6000 
123,2004,2 ,径向速度,3.69,52.83,634.2300 
124,2004,2 ,径向速度,2.44,46.34,1383.4000 
125,2004,1 ,成像,,140,
126,2004,1 ,成像,,139,
127,2004,1 ,成像,,52.4,
128,2004,1 ,径向速度,,10.23,2.6439 
129,2004,1 ,径向速度,2.54,43.03,963.0000 
130,2004,1 ,径向速度,1.79,48.95,890.7600 
131,2004,1 ,径向速度,0.22,74.46,3.4160 
132,2004,1 ,径向速度,1.88,33.01,2597.0000 
133,2004,1 ,径向速度,0.178,38.02,25.8270 
134,2004,1 ,径向速度,1.26,52.63,456.4600 
135,2004,1 ,径向速度,0.45,43.99,123.0000 
136,2004,1 ,径向速度,0.76,50.2,3.3690 
137,2004,1 ,凌日,,,3.1013 
138,2004,1 ,凌日,,,4.0161 
139,2004,1 ,凌日,,600,1.4325 
140,2004,1 ,凌日,,2500,1.6899 
141,2004,1 ,凌日,,152.3,3.0301 
142,2004,1 ,微引力透镜,,,
143,2005,4 ,径向速度,0.049,6.27,5.3687 
144,2005,4 ,径向速度,0.017,6.27,12.9292 
145,2005,4 ,径向速度,0.022,6.27,66.8000 
146,2005,4 ,径向速度,0.006,6.27,3.1494 
147,2005,4 ,径向速度,0.021,4.7,1.9378 
148,2005,3 ,径向速度,0.624,33.24,843.6000 
149,2005,3 ,径向速度,3.88,52.88,6.6739 
150,2005,2 ,径向速度,0.622,33.98,1945.0000 
151,2005,2 ,径向速度,2.25,94.61,379.1000 
152,2005,2 ,径向速度,0.99,68.54,1624.0000 
153,2005,2 ,径向速度,3.24,16.57,923.8000 
154,2005,2 ,径向速度,0.057,15.89,17.1000 
155,2005,2 ,径向速度,2.6,19.72,4270.0000 
156,2005,1 ,成像,,45.52,
157,2005,1 ,径向速度,0.48,53.71,3.4442 
158,2005,1 ,径向速度,0.0405,21.85,15.6090 
159,2005,1 ,径向速度,6.54,66.49,711.0000 
160,2005,1 ,径向速度,14,300.3,471.6000 
161,2005,1 ,径向速度,0.62,42.37,17.9910 
162,2005,1 ,径向速度,9.1,20.98,388.0000 
163,2005,1 ,径向速度,1.71,47.26,2582.7000 
164,2005,1 ,径向速度,0.38,35.8,2.8178 
165,2005,1 ,径向速度,2.82,55.04,1973.0000 
166,2005,1 ,径向速度,6.86,32.56,1001.7000 
167,2005,1 ,径向速度,0.37,28.9,143.5800 
168,2005,1 ,径向速度,0.502,60.46,439.3000 
169,2005,1 ,径向速度,0.3,30.5,70.4600 
170,2005,1 ,径向速度,0.172,42,20.8133 
171,2005,1 ,径向速度,0.21,51.26,48.0560 
172,2005,1 ,径向速度,0.28,59.03,5.2400 
173,2005,1 ,径向速度,2.13,88.57,6.1335 
174,2005,1 ,径向速度,5.1,35.87,1928.0000 
175,2005,1 ,径向速度,,78.86,2.8759 
176,2005,1 ,径向速度,1.33,63.49,4.0720 
177,2005,1 ,径向速度,0.36,21.92,1155.0000 
178,2005,1 ,径向速度,,19.25,2.2186 
